Postal Code,Area,District,Latitude,Longitude
100,Fort,Colombo,6.939200,79.843600
200,Slave Island,Colombo,6.916700,79.850000
200,Slave lsland,Colombo,7.326700,80.522600
300,Colpetty,Colombo,6.883300,79.850000
400,Bambalapitiya,Colombo,6.891400,79.852200
500,Havelock Town,Colombo,6.884100,79.860800
600,Kirulapone,Colombo,6.875300,79.861100
600,Wellawatta,Colombo,6.875300,79.861100
800,Borella,Colombo,6.917700,79.874200
1300,Kotahena,Colombo,6.945900,79.861700
1500,Mutwal,Colombo,6.950000,79.866700
10100,Sri Jayawardenepu,Colombo,6.886800,79.955100
10115,Malabe,Colombo,6.908300,79.964900
10116,Talawatugoda,Colombo,6.873800,79.937800
10118,Hokandara,Colombo,6.891000,79.951300
10120,Battaramulla,Colombo,6.896400,79.918100
10150,Athurugiriya,Colombo,6.868700,79.999800
10200,Homagama,Colombo,6.844000,80.002400
10202,Mullegama,Colombo,6.879600,80.013100
10204,Habarakada,Colombo,6.870800,80.009200
10206,Pitipana Homagama,Colombo,6.848000,80.009800
10208,Kiriwattuduwa,Colombo,6.797700,80.014600
10230,Pannipitiya,Colombo,6.846200,79.944800
10232,Hiripitya,Colombo,6.846200,79.944800
10250,Nugegoda,Colombo,6.873500,79.889900
10280,Maharagama,Colombo,6.848000,79.926500
10290,Boralesgamuwa,Colombo,6.838200,79.910400
10300,Piliyandala,Colombo,6.799900,79.924900
10302,Deltara,Colombo,6.784100,79.911700
10304,Siddamulla,Colombo,6.823200,79.958600
10306,Madapatha,Colombo,6.768000,79.929000
10320,Polgasowita,Colombo,6.786500,79.965700
10350,Dehiwala,Colombo,6.852300,79.865600
10370,Mount Lavinia,Colombo,6.833900,79.864400
10400,Moratuwa,Colombo,6.773000,79.881600
10500,Padukka,Colombo,6.840800,80.089700
10502,Horagala,Colombo,6.810700,80.046600
10504,Meegoda,Colombo,6.847900,80.048400
10508,Kahawala,Colombo,6.777200,80.105700
10511,Watareka,Colombo,6.850900,80.064000
10513,Batawala,Colombo,6.878000,80.047200
10522,Bope,Colombo,6.832000,80.131400
10524,Handapangoda,Colombo,6.793900,80.144100
10526,Batugampola,Colombo,6.775800,80.134400
10600,Kolonnawa,Colombo,6.932900,79.884800
10620,Mulleriyawa New Town,Colombo,6.928700,80.047800
10640,Kaduwela,Colombo,6.933900,79.982000
10650,Hanwella,Colombo,6.908600,80.079600
10654,Ranala,Colombo,6.914400,80.032000
10656,Dedigamuwa,Colombo,6.890500,80.027000
10660,Pugoda,Gampaha,6.991100,80.119700
10662,Kapugoda,Gampaha,6.950400,80.091600
10664,Tittapattara,Gampaha,6.934500,80.090200
10680,Waga,Colombo,6.901900,80.123600
10682,Tummodara,Colombo,6.901900,80.123600
10700,Avissawella,Colombo,6.953000,80.207500
10704,Napawela,Colombo,6.953000,80.207500
10712,Puwakpitiya,Colombo,7.033100,80.072200
10714,Hewainna,Colombo,7.099900,80.094400
10718,Kalatuwawa,Colombo,7.166700,80.116700
10730,Kosgama,Colombo,6.940400,80.127600
10732,Akarawita,Colombo,6.945900,80.111400
11000,Gampaha,Gampaha,7.089700,79.992500
11010,Ragama,Gampaha,7.029200,79.917000
11011,Batuwatta,Gampaha,7.052700,79.926600
11012,Walpola (WP),Gampaha,7.041000,79.921800
11020,Ganemulla,Gampaha,7.065200,79.963000
11024,Bollete (WP),Gampaha,7.065200,79.963000
11030,Udugampola,Gampaha,7.116700,79.983300
11033,Madelgamuwa,Gampaha,7.111600,79.953000
11034,Uggalboda,Gampaha,7.127300,79.956300
11040,Bemmulla,Gampaha,7.122900,80.023900
11043,Pethiyagoda,Gampaha,7.122900,80.023900
11052,Ambagaspitiya,Gampaha,7.082100,80.061600
11054,Udathuthiripitiya,Gampaha,7.071600,80.033300
11056,Mudungoda,Gampaha,7.061000,80.004900
11061,Mandawala,Gampaha,7.018800,80.083000
11062,Lunugama,Gampaha,6.971400,80.093300
11063,Naranwala,Gampaha,7.000600,80.024500
11066,Nedungamuwa,Gampaha,7.039300,80.019700
11068,Wanaluwewa,Gampaha,7.007500,80.055100
11100,Veyangoda,Gampaha,7.153500,80.059700
11102,Dewalapola,Gampaha,7.165900,79.990500
11104,Wattala,Gampaha,6.977900,79.889800
11104,Watinapaha,Gampaha,7.189100,80.000400
11105,Kumbaloluwa,Gampaha,7.176300,80.082700
11108,Essella,Gampaha,7.177300,80.012300
11112,Muddaragama,Gampaha,7.207700,80.054500
11114,Mabodale,Gampaha,7.198100,80.016600
11116,Ellakkala,Gampaha,7.144000,80.124100
11120,Attanagalla,Gampaha,7.115200,80.134100
11122,Alawala,Gampaha,7.120200,80.181500
11126,Urapola,Gampaha,7.098700,80.143000
11128,Nikahetikanda,Gampaha,7.095100,80.168900
11129,Rukmale,Gampaha,7.407400,80.086900
11134,Bopagama,Gampaha,7.074200,80.150100
11142,Ruggahawila,Gampaha,7.072500,80.115000
11144,Kahatowita,Gampaha,7.072500,80.115000
11146,Walgammulla,Gampaha,7.072500,80.115000
11150,Pallewela,Gampaha,7.200000,80.083300
11160,Kaleliya,Gampaha,7.195000,80.113600
11200,Mirigama,Gampaha,7.243900,80.121200
11204,Loluwagoda,Gampaha,7.295900,80.134600
11206,Kitalawalana,Gampaha,7.296500,80.100100
11208,Divuldeniya,Gampaha,7.302800,80.095700
11212,Ambepussa,Gampaha,7.250700,80.172300
11214,Pamunuwatta,Gampaha,7.212700,80.137500
11216,Bokalagama,Gampaha,7.231700,80.154900
11222,Nawana,Gampaha,7.263800,80.101200
11224,Kaluaggala,Gampaha,6.917300,80.110900
11226,Walpita,Gampaha,7.260100,80.049300
11228,Delwagura,Gampaha,7.266100,79.993600
11232,Kotadeniyawa,Gampaha,7.284400,80.062500
11234,Mellawagedara,Gampaha,7.284400,80.062500
11242,Kitulwala,Gampaha,7.503400,80.531800
11244,Banduragoda,Gampaha,7.226600,80.054400
11250,Divulapitiya,Gampaha,7.224000,80.009400
11260,Marandagahamula,Gampaha,7.240500,79.972300
11262,Hunumulla,Gampaha,7.245300,79.997400
11264,Dunagaha,Gampaha,7.225600,79.968500
11265,Ihala Madampella,Gampaha,7.250700,79.950900
11270,Demanhandiya,Gampaha,7.228200,79.896400
11320,Kandana,Gampaha,7.048000,79.893700
11324,Polpithimukulana,Gampaha,7.045000,79.878100
11328,Uswetakeiyawa,Gampaha,7.042100,79.862400
11350,Ja-Ela,Gampaha,7.074400,79.891900
11354,Niwandama,Gampaha,7.081500,79.930800
11358,Makewita,Gampaha,7.102300,79.931300
11370,Pamunugama,Gampaha,7.100600,79.848100
11380,Ekala,Gampaha,7.099000,79.913000
11390,Kotugoda,Gampaha,7.123100,79.926300
11400,Raddolugama,Gampaha,7.137100,79.903400
11410,Seeduwa,Gampaha,7.130500,79.887100
11420,Katunayake(FTZ),Gampaha,7.144000,79.888700
11440,Katunayake Air Force Camp,Gampaha,7.144000,79.888700
11450,Katunayake,Gampaha,7.164300,79.875700
11500,Negombo,Gampaha,7.208300,79.835800
11504,Talahena,Gampaha,7.162400,79.824600
11522,Kimbulapitiya,Gampaha,7.203600,79.895000
11524,Dagonna,Gampaha,7.221900,79.927900
11526,Katuwellegama,Gampaha,7.223400,79.938300
11532,Thimbirigaskatuwa,Gampaha,7.271500,79.948400
11534,Katana,Gampaha,7.250300,79.895700
11536,Akaragama,Gampaha,7.266600,79.965200
11538,Badalgama,Gampaha,7.297600,79.984400
11540,Kochchikade,Gampaha,7.265700,79.860300
11550,Minuwangoda,Gampaha,7.166300,79.953300
11558,Andiambalama,Gampaha,7.181800,79.900100
11562,Wegowwa,Gampaha,7.171500,79.966500
11564,Horampella,Gampaha,7.171500,79.966500
11566,Yatiyana(WP),Gampaha,7.171500,79.966500
11568,Hinatiyana Madawala,Gampaha,7.171500,79.966500
11600,Kelaniya,Gampaha,6.955300,79.922000
11607,Siyambalape,Gampaha,6.970700,79.987500
11618,Heiyanthuduwa,Gampaha,6.961800,80.002500
11630,GonawalaWP,Gampaha,6.961800,80.002500
11640,Makola,Gampaha,6.976900,79.958000
11650,Biyagama,Gampaha,6.942300,79.984200
11670,Malwana,Gampaha,6.941400,80.021000
11672,Biyagama IPZ,Gampaha,6.941400,80.021000
11680,Dompe,Gampaha,6.950300,80.051000
11690,Dekatana,Gampaha,6.969400,80.048100
11692,Demalagama,Gampaha,6.987900,80.048300
11700,Delgoda,Gampaha,6.990900,80.008000
11710,Weliveriya,Gampaha,7.017700,80.048800
11715,Henegama,Gampaha,7.017700,80.048800
11720,Buthpitiya,Gampaha,7.049100,80.051400
11724,Wathurugama,Gampaha,7.040600,80.071300
11725,Radawana,Gampaha,7.032100,80.091200
11730,Kirindiwela,Gampaha,7.041700,80.128200
11734,Hiswella,Gampaha,7.041700,80.128200
11741,Pepiliyawala,Gampaha,6.998200,80.128600
11742,Mithirigala,Gampaha,6.998200,80.128600
11830,Peliyagoda,Gampaha,6.968500,79.883600
11850,Kadawatha,Gampaha,7.027600,79.993000
11856,Imbulgoda,Gampaha,7.037600,79.991300
11858,Weboda,Gampaha,7.017600,79.994600
11870,Yakkala,Gampaha,7.086900,80.027100
11875,Kalagedihena,Gampaha,7.118500,80.056300
11880,Nittambuwa,Gampaha,7.142600,80.093800
11889,Debahera,Gampaha,7.142600,80.093800
11890,Pasyala,Gampaha,7.166600,80.121900
11892,Radawadunna,Gampaha,7.178500,80.140900
11894,Weweldeniya,Gampaha,7.184000,80.146600
11896,Danowita,Gampaha,7.207000,80.176900
12000,Kalutara,Kalutara,6.583100,79.959300
12005,Galpatha,Kalutara,6.605300,79.997100
12006,Yatawara Junction,Kalutara,6.605300,79.997100
12007,Koholana,Kalutara,6.618900,80.021900
12008,Bolossagama,Kalutara,6.605300,79.997100
12009,Remunagoda,Kalutara,6.613800,80.010000
12016,Gamagoda,Kalutara,6.590900,80.008300
12020,Dodangoda,Kalutara,6.553100,80.022300
12024,Bombuwala,Kalutara,6.572100,80.009600
12025,Tebuwana,Kalutara,6.582900,80.046600
12030,Neboda,Kalutara,6.589100,80.084000
12050,Paiyagala,Kalutara,6.507500,80.027600
12055,Halkandawila,Kalutara,6.507500,80.027600
12060,Maggona,Kalutara,6.504100,79.981100
12070,Beruwala,Kalutara,6.478800,79.982800
12074,Padagoda,Kalutara,6.452600,80.009600
12078,Kalawila Kiranthidiya,Kalutara,6.465700,79.996200
12080,Alutgama,Kalutara,6.439400,79.989500
12090,Dharga Town,Kalutara,6.424000,80.063100
